[38.3182, -76.54081]
[38.31891, -76.54162]
[38.32016, -76.54322]
[38.3206, -76.5438]
[38.32139, -76.54477]
[38.32276, -76.54634]
[38.328, -76.55212]
[38.32846, -76.55261]
[38.32954, -76.55369]
[38.3309, -76.55491]
[38.33418, -76.55782]
[38.33463, -76.55828]
[38.33541, -76.55924]
[38.34219, -76.56809]
[38.34246, -76.56842]
[38.34274, -76.56873]
[38.34343, -76.56933]
[38.34499, -76.57063]
[38.34574, -76.57135]
[38.35423, -76.5802]
[38.35485, -76.58079]
[38.35612, -76.58194]
[38.36686, -76.59112]
[38.36744, -76.59169]
[38.36767, -76.59195]
[38.36815, -76.59256]
[38.3684, -76.59292]
[38.36884, -76.59368]
[38.36923, -76.59445]
[38.37268, -76.60192]
[38.37539, -76.60777]
[38.37565, -76.60843]
[38.3763, -76.61039]
[38.3771, -76.61345]
[38.37966, -76.62137]
[38.37992, -76.62201]
[38.38021, -76.62264]
[38.38081, -76.62376]
[38.38251, -76.62679]
[38.38286, -76.62737]
[38.38512, -76.63142]
[38.3868, -76.63442]
[38.3874, -76.63558]
[38.3949, -76.65155]
[38.39692, -76.65587]
[38.39739, -76.65677]
[38.39791, -76.65769]
[38.39847, -76.65854]
[38.40118, -76.66222]
[38.40448, -76.66665]
[38.4066, -76.66921]
[38.4076, -76.67051]
[38.4093, -76.6728]
[38.40984, -76.6736]
[38.4102, -76.67428]
[38.41047, -76.67486]
[38.4109, -76.6762]
[38.41176, -76.67902]
[38.41214, -76.68015]
[38.41248, -76.68103]
[38.4269, -76.71463]
[38.42757, -76.71616]
[38.42844, -76.71799]
[38.42898, -76.71893]
[38.42954, -76.71979]
[38.43127, -76.72222]
[38.43198, -76.72317]
[38.43734, -76.73059]
[38.43848, -76.73211]
[38.43954, -76.73336]
[38.44116, -76.73518]
[38.44215, -76.73639]
[38.4426, -76.737]
[38.44494, -76.74026]
[38.44574, -76.7415]
[38.44754, -76.74457]
[38.44806, -76.74538]
[38.44894, -76.74664]
[38.46442, -76.76809]
[38.46507, -76.76893]
[38.46599, -76.76997]
[38.46702, -76.77099]
[38.46777, -76.77161]
[38.46824, -76.77194]
[38.46892, -76.77235]
[38.46959, -76.77268]
[38.47121, -76.77334]
[38.47497, -76.77478]
[38.47575, -76.77502]
[38.47652, -76.77518]
[38.47751, -76.77527]
[38.4787, -76.77526]
[38.49455, -76.77494]
[38.50055, -76.7748]
[38.50234, -76.77475]
[38.50432, -76.77473]
[38.50975, -76.77461]
[38.51132, -76.77457]
[38.51571, -76.7745]
[38.5162, -76.77456]
[38.51654, -76.77464]
[38.51688, -76.77476]
[38.51725, -76.77492]
[38.52361, -76.77883]
